Document_no,Total_words,Term_frequency,Relative_frequency
1,92,2,0.022
2,70,1,0.014
3,117,2,0.017
4,87,0,0.0
5,83,0,0.0
6,108,0,0.0
7,93,2,0.022
8,91,2,0.022
9,97,7,0.072
10,87,0,0.0
11,87,2,0.023
12,104,5,0.048
13,113,0,0.0
14,92,1,0.011
15,93,2,0.022
16,98,0,0.0
17,76,0,0.0
18,94,0,0.0
19,112,0,0.0
20,64,0,0.0
21,107,0,0.0
22,73,0,0.0
23,84,0,0.0
24,95,0,0.0
25,90,0,0.0
26,93,0,0.0
27,92,0,0.0
28,94,0,0.0
29,109,0,0.0
30,105,0,0.0
31,109,0,0.0
32,73,0,0.0
33,90,0,0.0
34,99,0,0.0
35,74,0,0.0
36,77,0,0.0
37,103,0,0.0
38,95,3,0.032
39,56,0,0.0
40,99,0,0.0
41,67,0,0.0
42,75,0,0.0
43,80,0,0.0
44,77,0,0.0
45,70,0,0.0
46,94,0,0.0
47,105,0,0.0
48,83,3,0.036
49,100,1,0.01
50,99,1,0.01
51,98,0,0.0
52,89,3,0.034
53,104,1,0.01
54,61,3,0.049
55,100,4,0.04
56,77,0,0.0
57,93,0,0.0
58,73,0,0.0
59,95,0,0.0
60,69,1,0.014
61,60,0,0.0
62,63,0,0.0
63,75,0,0.0
64,67,1,0.015
65,83,0,0.0
66,99,0,0.0
67,62,0,0.0
68,76,2,0.026
69,70,1,0.014
70,93,0,0.0
71,99,0,0.0
72,91,2,0.022
73,87,2,0.023
74,69,0,0.0
75,110,0,0.0
76,106,0,0.0
77,84,0,0.0
78,92,0,0.0
79,93,1,0.011
80,102,0,0.0
