Document_no,Total_words,Term_frequency,Relative_frequency
1,92,0,0.0
2,70,0,0.0
3,117,0,0.0
4,87,0,0.0
5,83,0,0.0
6,108,0,0.0
7,93,0,0.0
8,91,0,0.0
9,97,0,0.0
10,87,0,0.0
11,87,0,0.0
12,104,0,0.0
13,113,0,0.0
14,92,0,0.0
15,93,0,0.0
16,98,0,0.0
17,76,0,0.0
18,94,0,0.0
19,112,0,0.0
20,64,0,0.0
21,107,0,0.0
22,73,0,0.0
23,84,0,0.0
24,95,0,0.0
25,90,0,0.0
26,93,0,0.0
27,92,0,0.0
28,94,0,0.0
29,109,0,0.0
30,105,0,0.0
31,109,0,0.0
32,73,0,0.0
33,90,0,0.0
34,99,0,0.0
35,74,0,0.0
36,77,0,0.0
37,103,0,0.0
38,95,0,0.0
39,56,0,0.0
40,99,0,0.0
41,67,0,0.0
42,75,0,0.0
43,80,0,0.0
44,77,0,0.0
45,70,0,0.0
46,94,0,0.0
47,105,4,0.038
48,83,0,0.0
49,100,0,0.0
50,99,0,0.0
51,98,0,0.0
52,89,0,0.0
53,104,0,0.0
54,61,1,0.016
55,100,0,0.0
56,77,0,0.0
57,93,0,0.0
58,73,0,0.0
59,95,0,0.0
60,69,0,0.0
61,60,0,0.0
62,63,0,0.0
63,75,0,0.0
64,67,0,0.0
65,83,0,0.0
66,99,0,0.0
67,62,0,0.0
68,76,0,0.0
69,70,0,0.0
70,93,0,0.0
71,99,0,0.0
72,91,0,0.0
73,87,0,0.0
74,69,0,0.0
75,110,0,0.0
76,106,0,0.0
77,84,0,0.0
78,92,0,0.0
79,93,0,0.0
80,102,0,0.0
